trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size,use_batchnorm
55,0.01831558346748352,35,0.01831558346748352,0.008686866611242294,0.005905692931264639,0.011978199676588608,3,4,576,25,0.13938597228364047,0.0019892394931342095,0.0005763185803427868,swish,64,True
130,0.018944617360830307,21,0.018944617360830307,0.011177942156791687,0.002350484486669302,0.023956399353177216,4,2,640,21,0.19495761442858298,0.0005108162694923229,4.752582848995606e-06,swish,32,True
144,0.01923527754843235,27,0.01923527754843235,0.006611275486648083,-0.00899861566722393,0.017967299514882913,4,3,704,25,0.19565099134237768,0.0012187416891135605,9.80055903009985e-06,elu,32,True
92,0.020236443728208542,30,0.020236443728208542,0.011722183786332607,0.002254933351650834,0.011978199676588608,4,3,512,15,0.11367482677557525,0.000485564094595353,0.0009614988431694512,elu,32,True
28,0.020377308130264282,25,0.020377308130264282,0.010041441768407822,0.007081837859004736,0.0,4,2,448,15,0.10495151454144044,0.0006527864685720289,5.823287544673246e-05,swish,32,True
4,0.022578950971364975,36,0.022578950971364975,0.012948235496878624,0.004623947665095329,0.04192369886806013,2,2,384,11,0.09227726749242879,0.0015308837415731389,3.5838399841967197e-06,relu,64,True
8,0.025977523997426033,40,0.025977523997426033,0.015309233218431473,-0.005559777375310659,0.0,2,3,768,15,0.19917455176771565,0.00027824908605603307,1.857380610647789e-05,elu,128,False
3,0.027979813516139984,40,0.027979813516139984,0.018354330211877823,0.0026976403314620256,0.005989099838294304,1,2,128,11,0.20602040635334323,0.000642033033629786,8.494823227511642e-06,relu,128,True
1,0.030219556763768196,39,0.030219556763768196,0.019257115200161934,4.262259972165339e-05,0.017967299514882913,3,3,256,21,0.26242177333881367,0.00010725209743172001,0.003951167920463068,relu,128,False
2,0.03349293768405914,38,0.03349293768405914,0.02129664458334446,-0.0028919754549860954,0.06588009822123735,1,2,448,15,0.22772437065861273,0.000117115099555241,0.00023196953664862102,swish,32,True
6,0.04123177379369736,39,0.04123177379369736,0.02469937689602375,-0.010383746586740017,0.09582559741270887,2,1,192,15,0.3222699421778279,0.0002334720250903526,4.960055645210594e-05,relu,128,False
5,0.04209498316049576,40,0.04209498316049576,0.027337923645973206,-0.005944358184933662,0.059890998382943046,2,1,896,11,0.14755499660802412,0.001195960383019184,0.0002933675239723524,relu,256,False
7,0.06992457807064056,17,0.06992457807064056,0.05284303054213524,-0.004626849200576544,0.005989099838294304,4,1,960,21,0.08301557735830303,0.00021711402231880007,5.6534901345360604e-05,elu,32,False
0,0.07194090634584427,10,0.07194090634584427,0.05447498336434364,-0.005584830418229103,0.0,4,3,256,21,0.2,0.0003,0.0001,relu,64,False
9,0.07217054069042206,6,0.07217054069042206,0.05490679293870926,0.010003311559557915,0.0,4,1,768,11,0.23969174917807384,0.000862581622692092,0.00013230011762691587,elu,256,False
